"name","price","review_count","rating","est_income","est_total_cost","expected_profit"
"优信二手车-二手车买车卖车评估交易平台","0.00","6","5.0","$330,000.00","$142,000.00","$188,000.00"
"新概念英语2015最新版-英美全四册","0.99","6","5.0","$330,000.00","$142,000.00","$188,000.00"
"鬼とび","0.00","6","5.0","$330,000.00","$142,000.00","$188,000.00"
"Room Escape Game - Pictures Room Esacpe","0.00","6","5.0","$330,000.00","$142,000.00","$188,000.00"
"Pirates Kids Room Escape","0.00","6","5.0","$330,000.00","$142,000.00","$188,000.00"
"Eye Training Cocololo-3dステレオグラム視力回復アプリ-","0.00","6","5.0","$330,000.00","$142,000.00","$188,000.00"
"Brake or Break","0.00","5","5.0","$330,000.00","$142,000.00","$188,000.00"
"FizzUp – Online Fitness Trainer","0.00","5","5.0","$330,000.00","$142,000.00","$188,000.00"
"HauntedPic","0.99","5","5.0","$330,000.00","$142,000.00","$188,000.00"
"Huetopia","0.99","4","5.0","$330,000.00","$142,000.00","$188,000.00"
"Craft The World - Episodes Edition","0.99","4","5.0","$330,000.00","$142,000.00","$188,000.00"
"Blade of Elemental","0.99","3","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape a Crepe House","0.00","3","5.0","$330,000.00","$142,000.00","$188,000.00"
"Simple Camera - Fast Minimal Design","0.00","3","5.0","$330,000.00","$142,000.00","$188,000.00"
"UDONちゅるん","0.00","3","5.0","$330,000.00","$142,000.00","$188,000.00"
"ホストのアブナイ世界","0.00","3","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape the Sweet Shop Series","0.00","3","5.0","$330,000.00","$142,000.00","$188,000.00"
"RETSNOM","0.99","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"天天麻将-有奖励的麻将玩法全集","0.00","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"ROAD -escape game-","0.00","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"Soccer Cup Championship 2016","0.00","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"Survivor: Prologue","0.00","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"【カノピッピ大作戦】ギャルがオタクに恋をした/脱ギャル系彼女育成ゲーム","0.00","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"a. - Physical Simulation Puzzle Game","0.00","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape Game : Escape from Okinawa","0.00","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"Flappy Marine","0.99","2","5.0","$330,000.00","$142,000.00","$188,000.00"
"Versus - Multiplayer Game (2 players)","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"LINE FIGHTERS","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"激ムズ！ねこ階段","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"Baidu Videos","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"激おこ!! はじめしゃちょー　なんなんですか!?","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"Video Smith - A Powerful video editing tool set","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"迷你屠龙传(1.76经典休闲挂机版)","0.99","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"激ムズ！ねこじゃんぷ２","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"LINE Moments - Capture Your Fun Moments","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
"我叫MT3-回合制魔幻世界 大型公会副本开荒","0.00","1","5.0","$330,000.00","$142,000.00","$188,000.00"
